rightarmx;rightarmy;rightarmz;rightarmw;rightforearmx;rightforearmy;rightforearmz;rightforearmw;righthandx;righthandy;righthandz;righthandw
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
0,2463406;-0,1061002;-0,467223;0,8424736;-1,200777E-08;-0,1528654;2,697404E-08;0,988247;-0,3338535;0,1200098;-0,00557475;0,9349377
0,2463406;-0,1061002;-0,467223;0,8424736;-1,200777E-08;-0,1528654;2,697404E-08;0,988247;-0,3338535;0,1200098;-0,00557475;0,9349377
0,2463406;-0,1061002;-0,467223;0,8424736;-1,200777E-08;-0,1528654;2,697404E-08;0,988247;-0,3338535;0,1200098;-0,00557475;0,9349377
0,2463406;-0,1061002;-0,467223;0,8424736;-1,200777E-08;-0,1528654;2,697404E-08;0,988247;-0,3338535;0,1200098;-0,00557475;0,9349377
0,2463406;-0,1061002;-0,467223;0,8424736;-1,200777E-08;-0,1528654;2,697404E-08;0,988247;-0,3338535;0,1200098;-0,00557475;0,9349377
0,2460435;-0,1056698;-0,4672537;0,8425975;-5,145607E-08;-0,1523004;5,518952E-09;0,9883343;-0,3336964;0,1199233;-0,005529277;0,9350051
0,2460435;-0,1056698;-0,4672537;0,8425975;-5,145607E-08;-0,1523004;5,518952E-09;0,9883343;-0,3336964;0,1199233;-0,005529277;0,9350051
0,2460435;-0,1056698;-0,4672537;0,8425975;-5,145607E-08;-0,1523004;5,518952E-09;0,9883343;-0,3336964;0,1199233;-0,005529277;0,9350051
0,2460435;-0,1056698;-0,4672537;0,8425975;-5,145607E-08;-0,1523004;5,518952E-09;0,9883343;-0,3336964;0,1199233;-0,005529277;0,9350051
0,2460435;-0,1056698;-0,4672537;0,8425975;-5,145607E-08;-0,1523004;5,518952E-09;0,9883343;-0,3336964;0,1199233;-0,005529277;0,9350051
0,2431257;-0,1036421;-0,4686178;0,8429387;-2,802655E-07;-0,144348;1,243519E-09;0,989527;-0,3346855;0,1162399;-0,005606825;0,9351164
0,2431257;-0,1036421;-0,4686178;0,8429387;-2,802655E-07;-0,144348;1,243519E-09;0,989527;-0,3346855;0,1162399;-0,005606825;0,9351164
0,2431257;-0,1036421;-0,4686178;0,8429387;-2,802655E-07;-0,144348;1,243519E-09;0,989527;-0,3346855;0,1162399;-0,005606825;0,9351164
0,2431257;-0,1036421;-0,4686178;0,8429387;-2,802655E-07;-0,144348;1,243519E-09;0,989527;-0,3346855;0,1162399;-0,005606825;0,9351164
0,2431257;-0,1036421;-0,4686178;0,8429387;-2,802655E-07;-0,144348;1,243519E-09;0,989527;-0,3346855;0,1162399;-0,005606825;0,9351164
0,2431726;-0,1079303;-0,4700128;0,8416092;-7,295397E-08;-0,1396879;2,090987E-07;0,9901956;-0,3372372;0,1124342;-0,005368647;0,9346662
0,2431726;-0,1079303;-0,4700128;0,8416092;-7,295397E-08;-0,1396879;2,090987E-07;0,9901956;-0,3372372;0,1124342;-0,005368647;0,9346662
