headx;heady;headz;headw
0,03374949;0,006690823;-0,01613762;0,9992777
0,0338654;0,006406377;-0,01619163;0,9992747
0,0336559;0,006448936;-0,0160385;0,999284
0,03358316;0,006664611;-0,01608541;0,9992842
0,03377089;0,007000094;-0,01587792;0,999279
0,03415471;0,006743397;-0,01580367;0,9992689
0,0343185;0,006285755;-0,01604723;0,9992624
0,03452476;0,005648929;-0,01676202;0,9992473
0,03468239;0,004215341;-0,01796491;0,999228
0,03431759;0,00262276;-0,01861531;0,9992342
0,03321654;0,0001373533;-0,01728339;0,9992988
0,03218914;-0,002165433;-0,01684104;0,9993376
0,03225315;-0,004164342;-0,01774343;0,9993136
0,03382996;-0,005650444;-0,01698649;0,9992673
0,03495871;-0,006697015;-0,01426897;0,9992644
0,03583781;-0,006901201;-0,01288687;0,9992508
0,03765357;-0,005492353;-0,01507831;0,999162
0,03943133;-0,002297248;-0,01819716;0,9990539
0,04003097;0,002623818;-0,01978686;0,9989991
0,03975815;0,008549909;-0,02056272;0,9989612
0,03877242;0,01477201;-0,02135332;0,9989107
0,03738479;0,02050512;-0,02206101;0,998847
0,03571128;0,02454952;-0,02216544;0,9988146
0,03449086;0,02618549;-0,02242277;0,9988103
0,03347734;0,0272648;-0,02409112;0,998777
0,03245628;0,02742266;-0,026144;0,9987549
0,03139825;0,02636513;-0,02767452;0,9987758
0,03071796;0,02404663;-0,02827566;0,9988387
0,03117323;0,0211555;-0,02847581;0,9988843
0,03210774;0,01712793;-0,02811205;0,9989422
0,03319047;0,01245203;-0,02692025;0,9990088
0,0347266;0,006883096;-0,02537971;0,9990509
0,03679101;0,001852746;-0,02335088;0,9990484
0,03711131;-0,001859173;-0,02152044;0,9990777
0,03895129;-0,003878636;-0,02210092;0,9989892
0,04315611;-0,004217041;-0,02429566;0,998764
0,04774474;-0,003573171;-0,02604609;0,9985136
0,0513297;-0,002375883;-0,02619424;0,9983354
0,05332317;-0,0001583564;-0,0253182;0,9982563
0,05352117;0,002811405;-0,02473;0,9982565
0,05162163;0,006718291;-0,02504163;0,9983302
0,04808097;0,01139229;-0,02607823;0,998438
0,04465668;0,01483284;-0,027251;0,9985206
0,04223008;0,01773064;-0,0276581;0,9985677
0,04067015;0,02001373;-0,02758453;0,9985913
0,03953791;0,02186659;-0,02819491;0,9985809
0,03841483;0,02296257;-0,02929981;0,9985682
0,03748726;0,02333573;-0,02999591;0,9985743
0,03700599;0,02283149;-0,03061311;0,998585
0,03696413;0,02183118;-0,03137882;0,9985852
0,03713672;0,02051136;-0,03190262;0,9985902
0,03774006;0,01869378;-0,03237829;0,998588
0,03804261;0,01654346;-0,03259728;0,9986073
0,03809808;0,01426233;-0,03261184;0,9986399
0,03820449;0,01146757;-0,03185877;0,9986961
0,03909072;0,009252272;-0,03065477;0,9987226
0,04071282;0,00706934;-0,03003024;0,9986945
0,04140377;0,004893666;-0,02925592;0,9987022
0,0413458;0,003360078;-0,02817296;0,998742
0,0416996;0,002522685;-0,02826788;0,998727
0,04247937;0,002027464;-0,02948029;0,9986603
0,04312875;0,002169569;-0,030259;0,9986088
0,04333172;0,002743025;-0,03011452;0,998603
